;1 1 1;1 2 1;1 3 1;2 1 1;2 2 1;2 3 1;3 1 1;3 2 1;3 3 1;4 1 1;4 2 1;4 3 1;5 1 1;5 2 1;5 3 1;;;;;;;;;;;;;;;;;
07.09.11;0;1,14;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
08.09.11;0;1,14;0;1;1;1,06;1;0;0;1;0;1;1,03;0;1;;;;;;;;;;;;;;;;;
09.09.11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
10.09.11;0;0,95;0;1;0,97;0;0,96;0;0;1;1;1;0;0;0;;;;;;;;;;;;;;;;;
11.09.11;0;0;0;1;0;1;0,96;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
12.09.11;0;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
13.09.11;0;1,14;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
14.09.11;0;1,14;0;0;0;1,06;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
15.09.11;0;1,14;0;1;0;0;1;0;0;1;0;1;1,03;0;0;;;;;;;;;;;;;;;;;
16.09.11;0;0;0;0;0;0;0,96;0,99;1;1;1;1;0,98;1;1;;;;;;;;;;;;;;;;;
17.09.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
18.09.11;0;0,95;0;1;0;1;0,96;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
19.09.11;0;1,14;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
20.09.11;0;1,14;0;0;0;1,06;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
21.09.11;0;1,14;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
22.09.11;0;1,14;0;1;1;1,06;1;0;0;1;0;1;1,03;0;1;;;;;;;;;;;;;;;;;
23.09.11;0;0;0;1;0,97;0;0,96;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
24.09.11;0;0,95;1;1;0;1;0,96;0,99;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
25.09.11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
26.09.11;0;1,14;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
27.09.11;0;1,14;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
28.09.11;0;1,14;0;0;0;1,06;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
29.09.11;0;1,14;0;1;0;0;1;0;0;1;0;1;1,03;0;0;;;;;;;;;;;;;;;;;
30.09.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
01.10.11;0;0;0;1;0;1;0,94;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
02.10.11;0,99;0,81;1;1;0,9;1;0,94;0,98;1;1;1;1;0,97;1;1;;;;;;;;;;;;;;;;;
03.10.11;0;1,05;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
04.10.11;0;1,05;0;0;0;1,04;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
05.10.11;0;1,05;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
06.10.11;0;1,05;0;1;1;1,04;1;0;0;1;0;1;0,89;0;1;;;;;;;;;;;;;;;;;
07.10.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
08.10.11;0;0,81;0;1;0;1;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
09.10.11;0;0;0;1;0,9;0;0;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Profit: 26648,8757949328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
